last_updated,notes,rankings
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 61, 'dg_id': 28635, 'dg_skill_estimate': 0.622618020678369, 'owgr_rank': 51, 'player_name': 'McCarty, Matt', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 62, 'dg_id': 12965, 'dg_skill_estimate': 0.615268692754797, 'owgr_rank': 108, 'player_name': 'Fowler, Rickie', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'AUS', 'datagolf_rank': 63, 'dg_id': 16841, 'dg_skill_estimate': 0.612436027455651, 'owgr_rank': 34, 'player_name': 'Lee, Min Woo', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'DEN', 'datagolf_rank': 64, 'dg_id': 23841, 'dg_skill_estimate': 0.608081077446192, 'owgr_rank': 91, 'player_name': 'Neergaard-Petersen, Rasmus', 'primary_tour': 'EURO'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'GER', 'datagolf_rank': 65, 'dg_id': 16394, 'dg_skill_estimate': 0.607011439405657, 'owgr_rank': 49, 'player_name': 'Jaeger, Stephan', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 66, 'dg_id': 26651, 'dg_skill_estimate': 0.594473857926872, 'owgr_rank': 56, 'player_name': 'Young, Cameron', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 67, 'dg_id': 8825, 'dg_skill_estimate': 0.583523584495212, 'owgr_rank': 28, 'player_name': 'Harman, Brian', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'AUS', 'datagolf_rank': 68, 'dg_id': 15856, 'dg_skill_estimate': 0.573879950415617, 'owgr_rank': 176, 'player_name': 'Smith, Cameron', 'primary_tour': 'LIV'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 69, 'dg_id': 7399, 'dg_skill_estimate': 0.571795948876831, 'owgr_rank': 45, 'player_name': 'Glover, Lucas', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 70, 'dg_id': 27364, 'dg_skill_estimate': 0.565835073671259, 'owgr_rank': 60, 'player_name': 'Thompson, Davis', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 71, 'dg_id': 29433, 'dg_skill_estimate': 0.560574963007376, 'owgr_rank': 67, 'player_name': 'Bridgeman, Jacob', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 72, 'dg_id': 28309, 'dg_skill_estimate': 0.540087471024573, 'owgr_rank': 139, 'player_name': 'Coody, Pierceson', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'JPN', 'datagolf_rank': 73, 'dg_id': 22760, 'dg_skill_estimate': 0.529345181866677, 'owgr_rank': 84, 'player_name': 'Hisatsune, Ryo', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 74, 'dg_id': 14704, 'dg_skill_estimate': 0.52597584469464, 'owgr_rank': 131, 'player_name': 'Putnam, Andrew', 'primary_tour': 'PGA'}"
2025-06-09 11:55:54 UTC,anyone ranked outside top 500 in OWGR appear as 501,"{'am': 0, 'country': 'USA', 'datagolf_rank': 75, 'dg_id': 21756, 'dg_skill_estimate': 0.489375439778666, 'owgr_rank': 73, 'player_name': 'Cole, Eric', 'primary_tour': 'PGA'}"
