last_updated,players
2025-06-09 16:00:33 UTC,"{'dg_id': 17543, 'driving_acc': -0.012, 'driving_dist': 1.566, 'player_name': 'Kim, Michael', 'sg_app': 0.321, 'sg_arg': 0.199, 'sg_ott': -0.002, 'sg_putt': 0.161, 'sg_total': 0.679}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23465, 'driving_acc': -0.037, 'driving_dist': 8.208, 'player_name': 'Greyserman, Max', 'sg_app': 0.056, 'sg_arg': 0.091, 'sg_ott': 0.046, 'sg_putt': 0.477, 'sg_total': 0.669}"
2025-06-09 16:00:33 UTC,"{'dg_id': 23838, 'driving_acc': -0.055, 'driving_dist': 17.054, 'player_name': 'Hojgaard, Rasmus', 'sg_app': 0.227, 'sg_arg': 0.006, 'sg_ott': 0.412, 'sg_putt': 0.022, 'sg_total': 0.667}"
2025-06-09 16:00:33 UTC,"{'dg_id': 19428, 'driving_acc': 0.009, 'driving_dist': 4.963, 'player_name': 'Zalatoris, Will', 'sg_app': 0.511, 'sg_arg': 0.033, 'sg_ott': 0.345, 'sg_putt': -0.236, 'sg_total': 0.652}"
2025-06-09 16:00:33 UTC,"{'dg_id': 28309, 'driving_acc': -0.016, 'driving_dist': 11.017, 'player_name': 'Coody, Pierceson', 'sg_app': -0.027, 'sg_arg': -0.057, 'sg_ott': 0.481, 'sg_putt': 0.249, 'sg_total': 0.645}"
2025-06-09 16:00:33 UTC,"{'dg_id': 25569, 'driving_acc': -0.002, 'driving_dist': 4.59, 'player_name': 'Stevens, Sam', 'sg_app': 0.037, 'sg_arg': 0.23, 'sg_ott': 0.105, 'sg_putt': 0.272, 'sg_total': 0.644}"
2025-06-09 16:00:33 UTC,"{'dg_id': 15556, 'driving_acc': -0.025, 'driving_dist': 1.041, 'player_name': 'Hughes, Mackenzie', 'sg_app': 0.174, 'sg_arg': 0.279, 'sg_ott': -0.099, 'sg_putt': 0.282, 'sg_total': 0.637}"
2025-06-09 16:00:33 UTC,"{'dg_id': 28635, 'driving_acc': 0.05, 'driving_dist': -5.249, 'player_name': 'McCarty, Matt', 'sg_app': 0.113, 'sg_arg': 0.077, 'sg_ott': 0.151, 'sg_putt': 0.284, 'sg_total': 0.624}"
2025-06-09 16:00:33 UTC,"{'dg_id': 22760, 'driving_acc': 0.014, 'driving_dist': -2.608, 'player_name': 'Hisatsune, Ryo', 'sg_app': 0.242, 'sg_arg': 0.124, 'sg_ott': 0.063, 'sg_putt': 0.189, 'sg_total': 0.619}"
2025-06-09 16:00:33 UTC,"{'dg_id': 12965, 'driving_acc': 0.032, 'driving_dist': 2.032, 'player_name': 'Fowler, Rickie', 'sg_app': 0.178, 'sg_arg': -0.019, 'sg_ott': 0.299, 'sg_putt': 0.16, 'sg_total': 0.618}"
